TweetsAgo,Target,User,Date,Positive,Neutral,Negative,Compound,Text
100,BBCWorld,BBC News (World),2017-11-30 15:48:50+00:00,0.0,1.0,0.0,0.0,RT @BBCBreaking: White House discussing plan to replace Secretary of State Rex Tillerson with CIA chief Mike Pompeo - US media https://t.co…
99,BBCWorld,BBC News (World),2017-11-30 15:50:49+00:00,0.0,1.0,0.0,0.0,RT @BBCBusiness: Are you watching the Bitcoin drama? https://t.co/L8vL87GT5W https://t.co/WWVVRmWCEM
98,BBCWorld,BBC News (World),2017-11-30 15:53:00+00:00,0.0,1.0,0.0,0.0,White House 'has plan to replace Tillerson' https://t.co/LNmG4HWxuR
97,BBCWorld,BBC News (World),2017-11-30 16:00:41+00:00,0.0,1.0,0.0,0.0,Ikea in Italy row over sacked Milan single mum https://t.co/ebr7yAXLmS
96,BBCWorld,BBC News (World),2017-11-30 16:12:23+00:00,0.0,1.0,0.0,0.0,Iceland's Left-Green leader Jakobsdóttir becomes new PM https://t.co/OOsXmEAFmq
95,BBCWorld,BBC News (World),2017-11-30 16:12:23+00:00,0.0,1.0,0.0,0.0,Theresa May: Trump was 'wrong' to retweet far-right posts https://t.co/j7toCKASKm
94,BBCWorld,BBC News (World),2017-11-30 16:41:29+00:00,0.131,0.584,0.285,-0.4767,Syria war: UN seeks urgent Eastern Ghouta medical evacuations https://t.co/xYuWuSkxJs
93,BBCWorld,BBC News (World),2017-11-30 17:03:43+00:00,0.0,1.0,0.0,0.0,Hague headache https://t.co/7K3MRrE5LQ
92,BBCWorld,BBC News (World),2017-11-30 17:04:20+00:00,0.0,1.0,0.0,0.0,"RT @BBCNews: Don't @ me: Theresa May says Trump retweets were ""wrong""

https://t.co/QLJt6VwjYq https://t.co/npuVIAcaSB"
91,BBCWorld,BBC News (World),2017-11-30 17:12:07+00:00,0.0,0.48,0.52,-0.7579,Kim Jong-nam killing: Regime critic carried 'antidote' https://t.co/3275AFTqIs
90,BBCWorld,BBC News (World),2017-11-30 17:52:49+00:00,0.0,0.759,0.241,-0.8074,RT @BowenBBC: This was my take on the reasons why the Bosnian Croat war criminal Slobodan Praljak ended up at #ICTY in The Hague.   https:/…
89,BBCWorld,BBC News (World),2017-11-30 18:03:06+00:00,0.0,1.0,0.0,0.0,It's one way to beat the rat race 🚗🚗🚌🚗 https://t.co/pUEdpZrqf1
88,BBCWorld,BBC News (World),2017-11-30 18:07:56+00:00,0.0,0.806,0.194,-0.34,US soldier accuses Al Franken of groping her in Kuwait https://t.co/CBGGglvHj8
87,BBCWorld,BBC News (World),2017-11-30 18:40:06+00:00,0.0,1.0,0.0,0.0,What Ed Sheeran really needs to know about New Zealand https://t.co/mP2oxUSooh
86,BBCWorld,BBC News (World),2017-11-30 19:17:37+00:00,0.0,1.0,0.0,0.0,"Thunderbolts and lightning, @Space_Station style 🚀🌏 https://t.co/NcFuTtZ9mx"
85,BBCWorld,BBC News (World),2017-11-30 19:30:08+00:00,0.0,0.857,0.143,-0.25,RT @BBCPolitics: Should @realDonaldTrump's planned state visit to the UK be cancelled? https://t.co/l0lY5uEh5R
84,BBCWorld,BBC News (World),2017-11-30 19:57:06+00:00,0.078,0.719,0.203,-0.4404,RT @BBCNews: 'Wrong Theresa May' demands apology for Donald Trump mis-tweet https://t.co/IFBoUD5mcU https://t.co/EoK0ZWi1sA
83,BBCWorld,BBC News (World),2017-11-30 20:43:07+00:00,0.0,1.0,0.0,0.0,"White House spokeswoman: ""I don't believe"" Trump knew who Britain First deputy leader Jayda Fransen was when he ret… https://t.co/Ohag5oXIg8"
82,BBCWorld,BBC News (World),2017-11-30 20:49:10+00:00,0.0,1.0,0.0,0.0,"Rex Tillerson - the under-fire diplomat
https://t.co/eZqN3yVwp7"
81,BBCWorld,BBC News (World),2017-11-30 20:57:07+00:00,0.178,0.822,0.0,0.3818,"Stunning aerial photos capture New York and Los Angeles from above

https://t.co/5IPgGhdCU7 https://t.co/M53HF4zKt1"
80,BBCWorld,BBC News (World),2017-11-30 21:43:45+00:00,0.0,0.714,0.286,-0.4939,Canada calls inquest for 2012 Radiohead stage collapse https://t.co/wfVbyxqAbS
79,BBCWorld,BBC News (World),2017-11-30 21:47:25+00:00,0.0,1.0,0.0,0.0,Trump's 'filter bubble' https://t.co/dTxnq1V9Vw
78,BBCWorld,BBC News (World),2017-11-30 21:54:58+00:00,0.314,0.476,0.21,0.2732,Argentina ends missing sub 'rescue mission' https://t.co/GCY2vo9hSO
77,BBCWorld,BBC News (World),2017-11-30 22:17:56+00:00,0.216,0.784,0.0,0.5106,RT @DaveLeeBBC: Alexa goes to work. Will her colleagues trust her eavesdropping? https://t.co/6Maz8wJe44
76,BBCWorld,BBC News (World),2017-11-30 22:53:55+00:00,0.0,1.0,0.0,0.0,Rex Tillerson: White House dismisses reports of replacement https://t.co/P13lHuIcq4
75,BBCWorld,BBC News (World),2017-11-30 23:27:33+00:00,0.0,1.0,0.0,0.0,Nasa footage shows lightning from ISS https://t.co/fQB0LEZMiL
74,BBCWorld,BBC News (World),2017-11-30 23:31:11+00:00,0.0,1.0,0.0,0.0,Commuter in China paints own road signs https://t.co/z6PjtoAGx1
73,BBCWorld,BBC News (World),2017-11-30 23:31:11+00:00,0.0,1.0,0.0,0.0,Should Donald Trump get UK state visit? https://t.co/I2BLJTXTWS
72,BBCWorld,BBC News (World),2017-11-30 23:31:12+00:00,0.0,0.585,0.415,-0.7964,Nikki Haley: North Korea would be destroyed in war with US https://t.co/s23uQjXsCR
71,BBCWorld,BBC News (World),2017-11-30 23:31:15+00:00,0.0,1.0,0.0,0.0,Jeremy Bowen: 'Why I testified against Praljak' https://t.co/WqQODuoqZp
70,BBCWorld,BBC News (World),2017-12-01 00:21:19+00:00,0.0,1.0,0.0,0.0,Reza Zarrab case: Gold trader implicates Turkish president Erdogan https://t.co/U7wBfEXcl5
69,BBCWorld,BBC News (World),2017-12-01 01:18:49+00:00,0.248,0.752,0.0,0.5106,Why have Belgian drivers been given free chips this week? https://t.co/KmWq8OxDmy
68,BBCWorld,BBC News (World),2017-12-01 01:22:46+00:00,0.0,1.0,0.0,0.0,Mass evictions as Beijing is spruced up https://t.co/juvfMej3zn
67,BBCWorld,BBC News (World),2017-12-01 02:21:12+00:00,0.0,0.625,0.375,-0.34,Officer accidentally Tasers partner https://t.co/RYgciIsQ3z
66,BBCWorld,BBC News (World),2017-12-01 02:54:13+00:00,0.0,1.0,0.0,0.0,Tesla mega-battery in Australia activated https://t.co/cHfQnrGxol
65,BBCWorld,BBC News (World),2017-12-01 02:54:16+00:00,0.136,0.544,0.32,-0.5719,Kate Steinle shooting: Mexican Garcia Zarate acquitted of murder https://t.co/Q1P06LQ5z3
64,BBCWorld,BBC News (World),2017-12-01 03:31:01+00:00,0.0,0.672,0.328,-0.5994,Honduras election: Violent clashes ahead of final result https://t.co/7R5dqxiFKO
63,BBCWorld,BBC News (World),2017-12-01 03:31:01+00:00,0.0,1.0,0.0,0.0,Japan's Emperor Akihito to abdicate in April 2019 https://t.co/S4GxIlRf2A
62,BBCWorld,BBC News (World),2017-12-01 04:36:24+00:00,0.0,1.0,0.0,0.0,How the drinking straw became a million dollar idea https://t.co/8HV1C2ODnz
61,BBCWorld,BBC News (World),2017-12-01 04:43:50+00:00,0.0,1.0,0.0,0.0,Spectrum of opinion https://t.co/KVGGimh2N8
60,BBCWorld,BBC News (World),2017-12-01 04:43:50+00:00,0.0,0.484,0.516,-0.4939,Sandals and scandals https://t.co/GdZzffKcG9
59,BBCWorld,BBC News (World),2017-12-01 04:46:53+00:00,0.0,1.0,0.0,0.0,Holocaust notebook https://t.co/pfcszFyUzT
58,BBCWorld,BBC News (World),2017-12-01 05:14:21+00:00,0.0,1.0,0.0,0.0,Zimbabwe's Mnangagwa gives key cabinet jobs to military figures https://t.co/0tv9QVPWdM
57,BBCWorld,BBC News (World),2017-12-01 05:20:55+00:00,0.0,0.744,0.256,-0.4767,Pakistan attack: 'Heavy gunfire' heard at Peshawar training centre https://t.co/PKHX1sYMoZ
56,BBCWorld,BBC News (World),2017-12-01 05:47:39+00:00,0.0,1.0,0.0,0.0,Russell Simmons: Music mogul steps down after sex allegation https://t.co/BNwoikycAB
55,BBCWorld,BBC News (World),2017-12-01 06:49:20+00:00,0.184,0.589,0.227,-0.1321,Australia bank error recipient will not be prosecuted https://t.co/Aat7E3fot3
54,BBCWorld,BBC News (World),2017-12-01 06:56:05+00:00,0.0,1.0,0.0,0.0,Germany coalition: Merkel and SPD to hold more talks to end impasse https://t.co/ZM4ZgEg5vO
53,BBCWorld,BBC News (World),2017-12-01 07:21:27+00:00,0.163,0.837,0.0,0.5106,"RT @BBCMonitoring: Russian TV is excitedly awaiting today's #WorldCupDraw in Moscow, hosted by Maria Komandnaya and @GaryLineker. President…"
52,BBCWorld,BBC News (World),2017-12-01 07:46:52+00:00,0.0,1.0,0.0,0.0,Zimbabwe's Mnangagwa gives key cabinet jobs to military figures https://t.co/Q5nxOLKscZ
51,BBCWorld,BBC News (World),2017-12-01 08:18:12+00:00,0.239,0.761,0.0,0.296,'Zero tolerance' plan eyed for plastic pollution https://t.co/FyXTrsXqkv
50,BBCWorld,BBC News (World),2017-12-01 08:20:06+00:00,0.314,0.476,0.21,0.2732,"Argentina ends missing submarine rescue mission 
https://t.co/HgZYBZYa7l"
49,BBCWorld,BBC News (World),2017-12-01 08:30:10+00:00,0.0,0.706,0.294,-0.7845,"RT @bbcdavideades: #bbcBizLive No glittery Xmas here yet...but with warnings that glitter is bad for our environment, should we go out and…"
48,BBCWorld,BBC News (World),2017-12-01 08:39:03+00:00,0.0,1.0,0.0,0.0,"RT @BBCSteveR: One Russian paper today says ""the World Cup is over budget"" &amp; that ""one stadium might not be completed"". The World Cup draw…"
47,BBCWorld,BBC News (World),2017-12-01 08:45:57+00:00,0.0,0.693,0.307,-0.4767,India bus passenger arrested over smelly socks https://t.co/oKeqtxZoar
46,BBCWorld,BBC News (World),2017-12-01 09:16:42+00:00,0.0,1.0,0.0,0.0,Spain Catalonia: Bail hearing for separatist ministers https://t.co/ReA0oITpxv
45,BBCWorld,BBC News (World),2017-12-01 09:20:16+00:00,0.0,0.442,0.558,-0.9274,Okinawa rape and murder: US military base worker Shinzato jailed in Japan https://t.co/HHKtp624SB
44,BBCWorld,BBC News (World),2017-12-01 09:30:20+00:00,0.0,0.722,0.278,-0.4019,Dumped New Zealand house 'returned to sender' https://t.co/Y7IOhVR2XW
43,BBCWorld,BBC News (World),2017-12-01 09:40:00+00:00,0.0,0.273,0.727,-0.9231,Israeli soldier stabbed to death in 'terror attack' https://t.co/4tkAoUEf9t
42,BBCWorld,BBC News (World),2017-12-01 10:08:02+00:00,0.0,0.28,0.72,-0.7717,Miss Wheelchair's fight against harassment https://t.co/fRab8Y5uMx
41,BBCWorld,BBC News (World),2017-12-01 10:33:09+00:00,0.261,0.613,0.126,0.6369,"RT @BBCNewsPR: Another big congratulations to the team behind the Philippines War on Drugs report, which scooped the Best Single News Story…"
40,BBCWorld,BBC News (World),2017-12-01 10:41:26+00:00,0.0,0.66,0.34,-0.5574,US delays ban on 'unsafe' cluster bombs https://t.co/ou8GzunTFU
39,BBCWorld,BBC News (World),2017-12-01 11:38:27+00:00,0.0,1.0,0.0,0.0,"Fruit jewellery, sugar dolls https://t.co/1RXfNWt2W5"
38,BBCWorld,BBC News (World),2017-12-01 12:12:16+00:00,0.111,0.509,0.38,-0.7003,"Hesitant Europeans - 36%
Contented Europeans - 23%
EU Rejecters - 14%
Frustrated Pro-Europeans - 9%
Austerity Rebel… https://t.co/IAmSJ2uoYq"
37,BBCWorld,BBC News (World),2017-12-01 12:24:50+00:00,0.396,0.39,0.214,0.4215,'Escape' artist rescued after failing to free himself https://t.co/1wbp4gqFKp
36,BBCWorld,BBC News (World),2017-12-01 12:24:53+00:00,0.0,1.0,0.0,0.0,Walmart pulls 'lynch journalists' T-shirt from sale https://t.co/HGHlYi39zl
35,BBCWorld,BBC News (World),2017-12-01 12:45:25+00:00,0.252,0.748,0.0,0.5719,Bette Nash: US flight attendant celebrates 60 years in the air https://t.co/1QNELae3di
34,BBCWorld,BBC News (World),2017-12-01 12:57:56+00:00,0.0,1.0,0.0,0.0,RT @BBC_HaveYourSay: #AskWoody - did the US ambassador's Twitter Q&amp;A get sidetracked by Trump? https://t.co/pi4m0PECqp
33,BBCWorld,BBC News (World),2017-12-01 13:05:07+00:00,0.0,0.667,0.333,-0.6705,Wanted Chechen IS jihadist Chatayev killed in Georgia siege https://t.co/j6Fk9JFiyn
32,BBCWorld,BBC News (World),2017-12-01 13:09:07+00:00,0.0,1.0,0.0,0.0,RT @bbcweather: EUROPE:  A potential stormy weekend in the Med and Adriatic as #mistral &amp; #bora winds develop. More snow for the Alps. Hele…
31,BBCWorld,BBC News (World),2017-12-01 13:13:20+00:00,0.0,0.37,0.63,-0.8807,Anger as India doctor mistakenly declares newborn dead https://t.co/ml069wCGo9
30,BBCWorld,BBC News (World),2017-12-01 13:17:06+00:00,0.0,1.0,0.0,0.0,Pope Francis uses term Rohingya in Bangladesh meeting https://t.co/UiKQIsGk3f
29,BBCWorld,BBC News (World),2017-12-01 13:33:00+00:00,0.0,0.806,0.194,-0.34,Turkey seeks arrest of ex-CIA officer Fuller over coup plot https://t.co/1hlGZ7c3dn
28,BBCWorld,BBC News (World),2017-12-01 14:23:06+00:00,0.119,0.792,0.089,0.1531,RT @BBCBreaking: Trump's ex-national security adviser Michael Flynn charged with making false statement to FBI in January https://t.co/Zw6t…
27,BBCWorld,BBC News (World),2017-12-01 14:45:50+00:00,0.0,0.763,0.237,-0.7096,"Michael Flynn: The man at the centre of Trump’s Russia crisis, who has been charged with making a false statement t… https://t.co/a4zKluuqEY"
26,BBCWorld,BBC News (World),2017-12-01 14:59:55+00:00,0.186,0.659,0.155,0.0951,Republican holdouts back tax bill despite $1tn deficit alert https://t.co/DHPzZ6b6DI
25,BBCWorld,BBC News (World),2017-12-01 14:59:55+00:00,0.0,1.0,0.0,0.0,UN appeals for record $22.5bn humanitarian aid for 2018 https://t.co/LUGz7PaiNr
24,BBCWorld,BBC News (World),2017-12-01 15:22:55+00:00,0.535,0.465,0.0,0.3182,Far-right embrace https://t.co/vUnjzsx2Fm
23,BBCWorld,BBC News (World),2017-12-01 15:22:55+00:00,0.0,0.769,0.231,-0.34,Cohoes fire: Amateur US blacksmith burns down buildings https://t.co/5a2t04umKS
22,BBCWorld,BBC News (World),2017-12-01 15:23:33+00:00,0.138,0.781,0.082,0.3612,Flight attendant still working at 81: Bette Nash is celebrating 60 years working in the air and she has no plans to… https://t.co/ztvh6okq12
21,BBCWorld,BBC News (World),2017-12-01 15:34:41+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: The 2018 Fifa #WorldCupDraw is moments away ⚽️

Follow live coverage 👉 https://t.co/XhMcEMjVJd

Tweet us #bbcfootball https:/…"
20,BBCWorld,BBC News (World),2017-12-01 10:41:26+00:00,0.0,0.66,0.34,-0.5574,US delays ban on 'unsafe' cluster bombs https://t.co/ou8GzunTFU
19,BBCWorld,BBC News (World),2017-12-01 11:38:27+00:00,0.0,1.0,0.0,0.0,"Fruit jewellery, sugar dolls https://t.co/1RXfNWt2W5"
18,BBCWorld,BBC News (World),2017-12-01 12:12:16+00:00,0.111,0.509,0.38,-0.7003,"Hesitant Europeans - 36%
Contented Europeans - 23%
EU Rejecters - 14%
Frustrated Pro-Europeans - 9%
Austerity Rebel… https://t.co/IAmSJ2uoYq"
17,BBCWorld,BBC News (World),2017-12-01 12:24:50+00:00,0.396,0.39,0.214,0.4215,'Escape' artist rescued after failing to free himself https://t.co/1wbp4gqFKp
16,BBCWorld,BBC News (World),2017-12-01 12:24:53+00:00,0.0,1.0,0.0,0.0,Walmart pulls 'lynch journalists' T-shirt from sale https://t.co/HGHlYi39zl
15,BBCWorld,BBC News (World),2017-12-01 12:45:25+00:00,0.252,0.748,0.0,0.5719,Bette Nash: US flight attendant celebrates 60 years in the air https://t.co/1QNELae3di
14,BBCWorld,BBC News (World),2017-12-01 12:57:56+00:00,0.0,1.0,0.0,0.0,RT @BBC_HaveYourSay: #AskWoody - did the US ambassador's Twitter Q&amp;A get sidetracked by Trump? https://t.co/pi4m0PECqp
13,BBCWorld,BBC News (World),2017-12-01 13:05:07+00:00,0.0,0.667,0.333,-0.6705,Wanted Chechen IS jihadist Chatayev killed in Georgia siege https://t.co/j6Fk9JFiyn
12,BBCWorld,BBC News (World),2017-12-01 13:09:07+00:00,0.0,1.0,0.0,0.0,RT @bbcweather: EUROPE:  A potential stormy weekend in the Med and Adriatic as #mistral &amp; #bora winds develop. More snow for the Alps. Hele…
11,BBCWorld,BBC News (World),2017-12-01 13:13:20+00:00,0.0,0.37,0.63,-0.8807,Anger as India doctor mistakenly declares newborn dead https://t.co/ml069wCGo9
10,BBCWorld,BBC News (World),2017-12-01 13:17:06+00:00,0.0,1.0,0.0,0.0,Pope Francis uses term Rohingya in Bangladesh meeting https://t.co/UiKQIsGk3f
9,BBCWorld,BBC News (World),2017-12-01 13:33:00+00:00,0.0,0.806,0.194,-0.34,Turkey seeks arrest of ex-CIA officer Fuller over coup plot https://t.co/1hlGZ7c3dn
8,BBCWorld,BBC News (World),2017-12-01 14:23:06+00:00,0.119,0.792,0.089,0.1531,RT @BBCBreaking: Trump's ex-national security adviser Michael Flynn charged with making false statement to FBI in January https://t.co/Zw6t…
7,BBCWorld,BBC News (World),2017-12-01 14:45:50+00:00,0.0,0.763,0.237,-0.7096,"Michael Flynn: The man at the centre of Trump’s Russia crisis, who has been charged with making a false statement t… https://t.co/a4zKluuqEY"
6,BBCWorld,BBC News (World),2017-12-01 14:59:55+00:00,0.186,0.659,0.155,0.0951,Republican holdouts back tax bill despite $1tn deficit alert https://t.co/DHPzZ6b6DI
5,BBCWorld,BBC News (World),2017-12-01 14:59:55+00:00,0.0,1.0,0.0,0.0,UN appeals for record $22.5bn humanitarian aid for 2018 https://t.co/LUGz7PaiNr
4,BBCWorld,BBC News (World),2017-12-01 15:22:55+00:00,0.535,0.465,0.0,0.3182,Far-right embrace https://t.co/vUnjzsx2Fm
3,BBCWorld,BBC News (World),2017-12-01 15:22:55+00:00,0.0,0.769,0.231,-0.34,Cohoes fire: Amateur US blacksmith burns down buildings https://t.co/5a2t04umKS
2,BBCWorld,BBC News (World),2017-12-01 15:23:33+00:00,0.138,0.781,0.082,0.3612,Flight attendant still working at 81: Bette Nash is celebrating 60 years working in the air and she has no plans to… https://t.co/ztvh6okq12
1,BBCWorld,BBC News (World),2017-12-01 15:34:41+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: The 2018 Fifa #WorldCupDraw is moments away ⚽️

Follow live coverage 👉 https://t.co/XhMcEMjVJd

Tweet us #bbcfootball https:/…"
100,CBSNews,CBS News,2017-12-01 03:40:01+00:00,0.0,1.0,0.0,0.0,"In Saudi Arabia, women are asserting themselves in ways that were unimaginable until recently… https://t.co/XBgTuDki3V"
99,CBSNews,CBS News,2017-12-01 03:49:16+00:00,0.143,0.857,0.0,0.4588,"Q: What is the political benefit for Pres. Trump in a government shutdown? 
@WaPoSean: [Pres.Trump] sees this as a… https://t.co/ausknvRNU5"
98,CBSNews,CBS News,2017-12-01 03:55:56+00:00,0.069,0.73,0.202,-0.6249,"Pres. Trump calls the verdict in the Kate Steinle murder case ""disgraceful."" During his presidential campaign, he s… https://t.co/oeYrFUN4W2"
97,CBSNews,CBS News,2017-12-01 04:17:33+00:00,0.063,0.777,0.16,-0.4588,Federal prosecutors asked for a 60-year prison sentence for a Michigan sports doctor who was caught with child porn… https://t.co/9nzLD27sZb
96,CBSNews,CBS News,2017-12-01 04:40:01+00:00,0.083,0.917,0.0,0.2023,"""I think the word 'plus-size' is so divisive to women,"" top model Ashley Graham tells Gayle King in @CBSSunday inte… https://t.co/hXoysT7K2x"
95,CBSNews,CBS News,2017-12-01 04:55:01+00:00,0.238,0.762,0.0,0.6486,Man sues Pittsburgh's Kennywood amusement park after he says he contracted an eye-eating parasite at the popular Ra… https://t.co/BL8XPiQxqE
94,CBSNews,CBS News,2017-12-01 05:02:08+00:00,0.186,0.814,0.0,0.1531,"Trump calls Kate Steinle verdict ""disgraceful"" https://t.co/kHPFPKHCVn https://t.co/OxvzDd04F3"
93,CBSNews,CBS News,2017-12-01 05:03:05+00:00,0.097,0.903,0.0,0.1027,Bette Midler calls on Geraldo Rivera to apologize for alleged groping incident https://t.co/QZtluid8uo https://t.co/sRn0aGbwdW
92,CBSNews,CBS News,2017-12-01 05:18:07+00:00,0.0,1.0,0.0,0.0,"President Trump, first lady Melania Trump light National Christmas Tree https://t.co/b3NjO8EMGi https://t.co/DPV7I4caYt"
91,CBSNews,CBS News,2017-12-01 05:33:04+00:00,0.0,0.861,0.139,-0.2732,"""You are a bully"": Judge rebukes man who sucker-punched victim with cerebral palsy https://t.co/IyF8vvYwef https://t.co/JLLYQaRTCe"
90,CBSNews,CBS News,2017-12-01 05:48:05+00:00,0.165,0.714,0.121,0.2023,"Mariah Woods missing: FBI tests ""items of interest"" in search for N.C. girl, 3 https://t.co/8wfRxzc98h https://t.co/4wiVrNT3UM"
89,CBSNews,CBS News,2017-12-01 06:03:06+00:00,0.0,1.0,0.0,0.0,"Dog steps on shotgun, shoots hunter https://t.co/tqHZAan2md https://t.co/K0odGRlIy5"
88,CBSNews,CBS News,2017-12-01 06:18:09+00:00,0.0,1.0,0.0,0.0,Delaware 4.1-magnitude earthquake rattles Mid-Atlantic region https://t.co/3CCj16gRcv https://t.co/1UdFfM2TwZ
87,CBSNews,CBS News,2017-12-01 06:33:06+00:00,0.0,0.66,0.34,-0.5574,Jay-Z talks about cheating on Beyoncé https://t.co/cxworK2Thl https://t.co/BplUIYRlSC
86,CBSNews,CBS News,2017-12-01 06:48:06+00:00,0.204,0.704,0.092,0.3818,"Matt Lauer on sexual misconduct allegations: ""I am truly sorry"" https://t.co/mnEJzq4zwE https://t.co/Z76mgoLOkq"
85,CBSNews,CBS News,2017-12-01 07:03:06+00:00,0.0,0.775,0.225,-0.4939,Man stumbles upon 1979 Porsche reported stolen 27 years ago https://t.co/VQ8F9HEkUu https://t.co/eJ225MXNyd
84,CBSNews,CBS News,2017-12-01 07:18:08+00:00,0.258,0.594,0.148,0.3757,Kate Steinle trial: Jose Ines Garcia Zarate found not guilty of murder in fatal pier shooting… https://t.co/npqhTtxOam
83,CBSNews,CBS News,2017-12-01 07:33:04+00:00,0.0,1.0,0.0,0.0,"Walmart pulls ""Rope. Tree. Journalist."" T-shirt from site https://t.co/9xxGc96By1 https://t.co/pTYfLyw78H"
82,CBSNews,CBS News,2017-12-01 07:48:04+00:00,0.0,0.677,0.323,-0.5106,Lawsuit accuses Philadelphia Eagles player of seducing man's wife https://t.co/IOnoJIWH1L https://t.co/msO29P0fBf
81,CBSNews,CBS News,2017-12-01 08:03:05+00:00,0.155,0.845,0.0,0.296,Diplomatic posts on high alert amid possible U.S. move on Jerusalem https://t.co/pgEXjHHU4J https://t.co/A4Hbugc7Na
80,CBSNews,CBS News,2017-12-01 08:18:10+00:00,0.0,0.509,0.491,-0.891,"""A horror movie"": Neighbor heard ""terrifying"" screams night of Temple student's murder https://t.co/4yu5ldEnxN https://t.co/FinPp02HuU"
79,CBSNews,CBS News,2017-12-01 08:24:10+00:00,0.0,1.0,0.0,0.0,Japan's emperor to become 1st to abdicate in 200 years https://t.co/7sf3FUxOkG https://t.co/VsozZqjeo4
78,CBSNews,CBS News,2017-12-01 08:33:05+00:00,0.0,0.628,0.372,-0.7964,"Teens indicted in shooting death of boy, 6, found in stolen car https://t.co/TOwYfiEuow https://t.co/1wHwttedSn"
77,CBSNews,CBS News,2017-12-01 08:48:05+00:00,0.114,0.446,0.441,-0.765,"Co-workers joked Tampa serial slaying suspect was ""the killer"" before arrest https://t.co/ZR466AmAjl https://t.co/fZBqtMfATs"
76,CBSNews,CBS News,2017-12-01 09:03:05+00:00,0.0,0.811,0.189,-0.5423,"6,000 drug cases linked to ""rogue chemist"" at Mass. crime lab to be dismissed https://t.co/SqNpjkBspd https://t.co/A9Pwre7hBS"
75,CBSNews,CBS News,2017-12-01 09:18:08+00:00,0.0,0.759,0.241,-0.5423,Alaska Airlines investigates sexual harassment claim made by ex-Facebook executive https://t.co/JaPeCQR1IH https://t.co/pABAv5Huk6
74,CBSNews,CBS News,2017-12-01 09:26:05+00:00,0.0,0.421,0.579,-0.9001,"Philly man accused of teen's brutal murder, burning body https://t.co/OW6fG7GeWT https://t.co/OBQkhIveZy"
73,CBSNews,CBS News,2017-12-01 09:33:06+00:00,0.0,0.859,0.141,-0.2023,Rhode Island parents charged after fentanyl found in deceased infant https://t.co/6QKMW0AIxq https://t.co/SYpJ3YZ8zW
72,CBSNews,CBS News,2017-12-01 09:42:06+00:00,0.0,0.721,0.279,-0.4767,Taliban claims deadly attack on research students https://t.co/nWChVnmgxm https://t.co/cOZfF4a2R9
71,CBSNews,CBS News,2017-12-01 09:48:05+00:00,0.0,1.0,0.0,0.0,"Florida teen who ran away with soccer coach had boyfriend, police say https://t.co/qtYKLcZS4G https://t.co/kaW0EmzweH"
70,CBSNews,CBS News,2017-12-01 10:03:05+00:00,0.0,0.552,0.448,-0.8442,Doctor: Texas girl Sherin Matthews showed signs of abuse before death https://t.co/KnfJMCpJn5
69,CBSNews,CBS News,2017-12-01 10:18:07+00:00,0.165,0.714,0.121,0.2023,"Mariah Woods missing: FBI tests ""items of interest"" in search for N.C. girl, 3 https://t.co/Pghf6YtH6D https://t.co/diABYgXTiD"
68,CBSNews,CBS News,2017-12-01 10:33:05+00:00,0.13,0.87,0.0,0.2023,"Top model Ashley Graham calls the term ""plus-size"" divisive to women https://t.co/Q2WhYD3Yjd https://t.co/Y5pkt48vmt"
67,CBSNews,CBS News,2017-12-01 10:48:06+00:00,0.0,0.861,0.139,-0.2732,Cops: Kidnap victim found in woods by group searching for Christmas tree https://t.co/ruuATmUvu5 https://t.co/DKKegtNriK
66,CBSNews,CBS News,2017-12-01 11:03:07+00:00,0.19,0.588,0.222,-0.128,Long-acting drugs may offer new hope for migraine sufferers https://t.co/FigOSq3VUR https://t.co/aq5lNKxE2D
65,CBSNews,CBS News,2017-12-01 11:16:01+00:00,0.0,0.863,0.137,-0.4019,Ahead on @CBSThisMorning: The Republican tax plan hits a snag in the Senate. How deficit concerns could complicate… https://t.co/YOnJPkutbm
